left,right,transform,fold_1,fold_2,fold_3,median_abs_residual_ic,sign_stability
41,68,rank_difference,-0.0027455974274325683,-0.031026068352483355,-0.03493514158719926,0.031026068352483355,1.0
57,41,rank_difference,0.026291816707814407,0.010598079159877144,0.025800591230001793,0.025800591230001793,1.0
41,4,rank_difference,-0.03389660351688802,-0.022951796507742598,-0.01726240008873549,0.022951796507742598,1.0
11,38,rank_product,-0.022676184618303202,-0.012933212408101033,-0.02333993077891214,0.022676184618303202,1.0
41,3,rank_difference,-0.030149018616044798,-0.01186778789785241,-0.020938367404718168,0.020938367404718168,1.0
8,50,rank_product,-0.016273855168956602,-0.02076258138141905,-0.021604131141634647,0.02076258138141905,1.0
57,73,robust_product,0.01895309476858195,0.00673103265770718,0.021273053526122875,0.01895309476858195,1.0
8,72,rank_product,-0.024063124461356694,-0.015468027796826683,-0.018914381916296838,0.018914381916296838,1.0
8,72,rank_abs_difference,0.018080149605405164,0.01781135781509766,0.02105753832960843,0.018080149605405164,1.0
11,38,rank_abs_difference,0.018017359545409433,0.016073522634469428,0.018918155119632487,0.018017359545409433,1.0
41,68,robust_product,-0.0112585722269122,-0.03645476861170507,-0.01755270757472245,0.01755270757472245,1.0
57,73,rank_abs_difference,-0.01682020087826113,-0.006316533255799598,-0.018169841862889734,0.01682020087826113,1.0
8,39,rank_product,-0.02208260789210959,-0.01017683403238623,-0.0163642800140322,0.0163642800140322,1.0
8,39,rank_abs_difference,0.018460596601662355,0.013361464003246327,0.01627985606295412,0.01627985606295412,1.0
8,49,rank_product,-0.016208376612801376,-0.01659715127374414,-0.014727907697045515,0.016208376612801376,1.0
11,42,rank_difference,-0.029886422809578844,-0.01239167307348402,-0.016037080439391484,0.016037080439391484,1.0
11,57,rank_product,0.011237675413309127,0.01597058789423058,0.017341802777598156,0.01597058789423058,1.0
11,39,rank_product,-0.017147634624563608,-0.005108861072992135,-0.015893717288410224,0.015893717288410224,1.0
11,55,rank_difference,-0.024134056908869102,-0.004384370308593308,-0.01577429909584165,0.01577429909584165,1.0
8,42,rank_difference,-0.04257546298249786,-0.008023015770356025,-0.015347759626378193,0.015347759626378193,1.0
