feature,feature_index,train_mean,train_std,nonfinite_rate,zero_rate,train_min,train_p01,train_median,train_p99,train_max,max_abs,train_outlier_rate,valid_outlier_rate,test_outlier_rate,valid_mean_shift_sd,test_mean_shift_sd,valid_psi,test_psi,max_abs_mean_shift,max_psi
num_0,0,4.558560092750161e-11,0.9999966654478722,0.0,0.0,-15.340494155883789,-3.328090715408325,0.05548199452459812,3.1776492595672607,101.12590789794922,101.12590789794922,0.07061111111111111,0.06946502057613169,0.056433333333333335,0.01721440091704652,-0.013395046822828875,0.012205343564455589,0.0156969157926068,0.01721440091704652,0.0156969157926068
num_1,1,3.29613291609727e-10,0.9999929701066943,0.0,0.0,-17.42202377319336,-2.578653423786163,0.0960550308227539,3.180557548999783,200.07571411132812,200.07571411132812,0.10265555555555556,0.09739368998628258,0.0843,0.052096353146349014,0.0684391134196849,0.004046254260017469,0.01101224833124134,0.0684391134196849,0.01101224833124134
num_2,2,4.8232636953264265e-11,0.9999957266442808,0.0,0.0,-10.602021217346191,-1.5430535662174225,-0.22029779851436615,3.2674847412109376,128.77291870117188,128.77291870117188,0.07364444444444444,0.08288065843621399,0.06404444444444445,0.08970445672626783,-0.00035875394089762545,0.006575389591275939,0.011215705954675676,0.08970445672626783,0.011215705954675676
num_3,3,-7.336724658979488e-10,0.9999956641920706,0.0,0.0,-19.079519271850586,-3.6969462299346922,0.2591414749622345,1.6287180948257434,120.29753112792969,120.29753112792969,0.06502222222222222,0.059122085048010975,0.04713333333333333,0.01211339068454631,0.060331219624835446,0.0060033529656371085,0.009750642648820612,0.060331219624835446,0.009750642648820612
num_4,4,2.3500625185612633e-11,0.9999945439903105,0.0,0.0,-13.235175132751465,-2.617415907382965,0.009609582833945751,3.421407027244563,160.4403533935547,160.4403533935547,0.07336666666666666,0.09895747599451303,0.07877777777777778,0.018999085205789447,0.019172665230063307,0.017562213326375736,0.005667441889278918,0.019172665230063307,0.017562213326375736
num_5,5,9.816029332276392e-11,0.9999956370366072,0.0,0.0,-377.0246887207031,-5.048933033943176,0.07739096134901047,0.13931383103132208,11.627951622009277,377.0246887207031,0.07831111111111111,0.3736488340192044,0.41625555555555555,-1.4124358416600533,-1.7009285999604289,0.49745657060968573,0.6280916871541091,1.7009285999604289,0.6280916871541091
num_6,6,1.9022500816122152e-10,0.9999998554331246,0.0,0.0,-3.5480921268463135,-1.8699469566345215,-0.05425715446472168,2.661901593208311,7.238431453704834,7.238431453704834,0.011777777777777778,0.055857338820301784,0.04526666666666666,0.15964257296502513,0.20159694953309215,0.10339648395102742,0.07539409200592587,0.20159694953309215,0.10339648395102742
num_7,7,-1.0182884408465536e-11,0.99999992306881,0.0,0.0,-8.3978910446167,-2.2485911011695863,-0.025487270206212997,2.398541202545164,5.254698753356934,8.3978910446167,0.008066666666666666,0.012688614540466393,0.009211111111111111,0.10485559017755898,0.046015889728488295,0.03199664941601251,0.014822995858909071,0.10485559017755898,0.03199664941601251
num_8,8,1.6507524657973272e-11,0.9999999233755978,0.0,0.0,-9.954296112060547,-2.135341763496399,-0.02768763806670904,2.4707986021041854,5.314268112182617,9.954296112060547,0.006266666666666667,0.015294924554183813,0.007044444444444444,0.18742026477813734,0.15581463748032123,0.035449517468540005,0.04567920847514322,0.18742026477813734,0.04567920847514322
num_9,9,-3.3169962674945226e-12,0.9999999023924498,0.0,0.0,-3.611969470977783,-1.6442101001739502,-0.17739559710025787,3.175276548862456,5.84617805480957,5.84617805480957,0.030166666666666668,0.051001371742112486,0.04184444444444444,0.13924686623131746,0.09915050188436449,0.035444122160551754,0.026659523046100798,0.13924686623131746,0.035444122160551754
