time,n,mean,std,q1,median,q3
486,1753,0.5,0.28883984684944153,0.25,0.5,0.75
487,1743,0.5,0.28884080052375793,0.25,0.5,0.75
488,1746,0.5,0.28884050250053406,0.2500000074505806,0.5,0.7500000149011612
489,1740,0.5,0.2888410985469818,0.2500000037252903,0.5,0.75
490,1742,0.5,0.2888409197330475,0.2499999962747097,0.4999999850988388,0.75
491,1749,0.5,0.28884023427963257,0.25,0.5,0.75
492,1740,0.5,0.2888410985469818,0.2500000037252903,0.5,0.75
493,1744,0.5,0.28884071111679077,0.2500000074505806,0.5000000149011612,0.7500000149011612
494,1747,0.5,0.2888404130935669,0.25,0.5,0.75
495,1748,0.5,0.28884032368659973,0.2500000074505806,0.5000000149011612,0.75
496,1747,0.5,0.2888404130935669,0.25,0.5,0.75
497,1757,0.5,0.2888394892215729,0.25,0.5,0.75
498,1749,0.5,0.28884023427963257,0.25,0.5,0.75
499,1751,0.5,0.28884005546569824,0.25,0.5,0.75
500,1749,0.5,0.28884023427963257,0.25,0.5,0.75
501,1761,0.5,0.28883910179138184,0.25,0.5,0.75
502,1754,0.5,0.28883975744247437,0.2499999962747097,0.4999999850988388,0.7500000149011612
503,1755,0.5,0.2888396680355072,0.25,0.5,0.75
504,1757,0.5,0.2888394892215729,0.25,0.5,0.75
505,1754,0.5,0.28883975744247437,0.2499999962747097,0.4999999850988388,0.7500000149011612
506,1777,0.5,0.28883764147758484,0.25,0.5,0.75
507,1781,0.5000000596046448,0.2888372540473938,0.25,0.5,0.75
508,1782,0.5,0.28883716464042664,0.25,0.5,0.75
509,1768,0.5,0.2888384461402893,0.2499999925494194,0.4999999850988388,0.7499999850988388
510,1770,0.5,0.288838267326355,0.25,0.5,0.75
511,1766,0.5,0.288838654756546,0.2499999925494194,0.5,0.7499999850988388
512,1762,0.5,0.2888390123844147,0.2500000037252903,0.5000000149011612,0.7500000149011612
513,1777,0.5,0.28883764147758484,0.25,0.5,0.75
514,1762,0.5,0.2888390123844147,0.2500000037252903,0.5000000149011612,0.7500000149011612
515,1768,0.5,0.2888384461402893,0.2499999925494194,0.4999999850988388,0.7499999850988388
516,1771,0.5,0.2888381779193878,0.2500000074505806,0.5,0.75
517,1770,0.5,0.288838267326355,0.25,0.5,0.75
518,1781,0.5,0.2888372540473938,0.25,0.5,0.75
519,1765,0.5,0.2888387441635132,0.25,0.5,0.75
520,1762,0.5,0.2888390123844147,0.2500000037252903,0.5000000149011612,0.7500000149011612
521,1782,0.5,0.28883716464042664,0.25,0.5,0.75
522,1785,0.5,0.28883689641952515,0.25,0.5,0.75
523,1784,0.5,0.2888369858264923,0.2500000037252903,0.5,0.7500000149011612
524,1786,0.5000000596046448,0.288836807012558,0.2500000037252903,0.5000000149011612,0.7500000149011612
525,1776,0.5,0.288837730884552,0.25,0.5,0.75
526,1787,0.5,0.2888367176055908,0.2500000074505806,0.5,0.75
527,1789,0.5,0.2888365387916565,0.25,0.5,0.75
528,1791,0.5,0.28883635997772217,0.2500000074505806,0.5,0.75
529,1786,0.5000000596046448,0.28883683681488037,0.2500000037252903,0.5000000149011612,0.7500000149011612
530,1784,0.5,0.2888369858264923,0.2500000037252903,0.5,0.7500000149011612
531,1785,0.5,0.28883689641952515,0.25,0.5,0.75
532,1790,0.5,0.28883644938468933,0.25,0.5,0.7499999850988388
533,1793,0.5,0.28883618116378784,0.25,0.5,0.75
534,1766,0.5,0.288838654756546,0.2499999925494194,0.5,0.7499999850988388
535,1773,0.5,0.2888379991054535,0.25,0.5,0.75
536,1783,0.5,0.2888370752334595,0.25,0.5,0.75
537,1793,0.5000000596046448,0.28883618116378784,0.25,0.5,0.75
538,1806,0.5,0.2888350188732147,0.2499999962747097,0.4999999850988388,0.7500000149011612
539,1788,0.4999999701976776,0.28883662819862366,0.2499999962747097,0.5,0.75
540,1779,0.5,0.2888374328613281,0.25,0.5,0.75
541,1796,0.5,0.28883591294288635,0.2499999925494194,0.4999999850988388,0.7499999850988388
542,1800,0.5,0.2888355851173401,0.25,0.5,0.7500000149011612
543,1794,0.5,0.2888360917568207,0.2500000037252903,0.5000000149011612,0.7499999850988388
544,1804,0.5,0.28883519768714905,0.2500000074505806,0.5000000149011612,0.7500000149011612
545,1796,0.5,0.28883591294288635,0.2499999925494194,0.4999999850988388,0.7499999850988388
546,1802,0.5,0.2888353765010834,0.2499999925494194,0.5,0.75
547,1769,0.5,0.28883838653564453,0.25,0.5,0.75
548,1819,0.5,0.288833886384964,0.2499999925494194,0.5,0.75
549,1804,0.5,0.28883519768714905,0.2500000074505806,0.5000000149011612,0.7500000149011612
550,1824,0.5,0.2888334393501282,0.2500000111758709,0.5000000149011612,0.7499999850988388
551,1836,0.5,0.2888323962688446,0.2499999888241291,0.4999999850988388,0.7499999850988388
552,1772,0.5,0.28883808851242065,0.2500000074505806,0.5000000149011612,0.7500000149011612
553,1792,0.5,0.288836270570755,0.2500000037252903,0.5,0.75
554,1805,0.5,0.2888351082801819,0.25,0.5,0.75
555,1791,0.5,0.28883635997772217,0.2500000074505806,0.5,0.75
556,1806,0.5,0.2888350188732147,0.2499999962747097,0.4999999850988388,0.7500000149011612
557,1768,0.5,0.2888384461402893,0.2499999925494194,0.4999999850988388,0.7499999850988388
558,1810,0.5,0.28883466124534607,0.25,0.5,0.7500000149011612
559,1817,0.5,0.2888340651988983,0.25,0.5,0.75
560,1819,0.5,0.288833886384964,0.2499999925494194,0.5,0.75
561,1808,0.5,0.2888348698616028,0.2499999925494194,0.4999999850988388,0.75
562,1820,0.5,0.2888337969779968,0.2500000074505806,0.5000000149011612,0.7499999850988388
563,1858,0.5,0.28883054852485657,0.2499999962747097,0.4999999850988388,0.7500000149011612
564,1848,0.5,0.2888313829898834,0.2500000074505806,0.5000000149011612,0.75
565,1837,0.5,0.28883233666419983,0.25,0.5,0.75
566,1801,0.5,0.28883546590805054,0.25,0.5,0.75
567,1820,0.5,0.2888337969779968,0.2500000074505806,0.5000000149011612,0.7499999850988388
568,1788,0.5,0.28883662819862366,0.2499999962747097,0.5,0.75
569,1830,0.5,0.2888329327106476,0.2499999962747097,0.4999999850988388,0.7499999850988388
570,1821,0.5,0.28883370757102966,0.25,0.5,0.75
571,1806,0.5,0.2888350188732147,0.2499999962747097,0.4999999850988388,0.7500000149011612
572,1820,0.5,0.2888337969779968,0.2500000074505806,0.5000000149011612,0.7499999850988388
573,1833,0.5,0.2888326644897461,0.25,0.5,0.75
574,1779,0.5,0.2888374328613281,0.25,0.5,0.75
575,1844,0.5,0.2888317108154297,0.2500000074505806,0.5000000149011612,0.7499999850988388
576,1786,0.5,0.288836807012558,0.2500000037252903,0.5000000149011612,0.7500000149011612
577,1852,0.5,0.28883105516433716,0.25,0.5,0.75
578,1872,0.5,0.28882938623428345,0.2499999888241291,0.4999999850988388,0.7499999850988388
579,1853,0.5,0.28883096575737,0.25,0.5,0.75
580,1856,0.5,0.2888307273387909,0.2499999962747097,0.5,0.75
581,1845,0.5,0.2888316214084625,0.25,0.5,0.75
582,1854,0.5,0.28883087635040283,0.25,0.5,0.7500000149011612
583,1871,0.5,0.2888294756412506,0.25,0.5,0.75
584,1879,0.5,0.2888288199901581,0.2500000074505806,0.5,0.75
585,1877,0.5,0.28882896900177,0.25,0.5,0.75
586,1874,0.5,0.2888292074203491,0.2500000037252903,0.5000000149011612,0.7499999850988388
587,1882,0.5,0.2888285517692566,0.2500000037252903,0.5000000149011612,0.7500000149011612
588,1873,0.5,0.2888292968273163,0.25,0.5,0.75
589,1884,0.5,0.28882840275764465,0.2500000037252903,0.5,0.7500000149011612
590,1870,0.5,0.2888295650482178,0.2499999962747097,0.4999999850988388,0.75
591,1891,0.5,0.2888278365135193,0.25,0.5,0.75
592,1902,0.5,0.28882694244384766,0.2500000037252903,0.5000000149011612,0.7499999850988388
593,1888,0.5,0.2888280749320984,0.2499999888241291,0.4999999850988388,0.7499999850988388
594,1887,0.5,0.28882813453674316,0.2500000074505806,0.5,0.75
595,1895,0.5,0.288827508687973,0.25,0.5,0.75
596,1885,0.5,0.2888283133506775,0.25,0.5,0.75
597,1894,0.5,0.2888275980949402,0.2499999962747097,0.4999999850988388,0.7500000149011612
598,1913,0.5,0.2888260781764984,0.25,0.5,0.75
599,1905,0.5,0.28882670402526855,0.25,0.5,0.75
600,1884,0.5,0.28882840275764465,0.2500000037252903,0.5,0.7500000149011612
601,1901,0.5,0.2888270318508148,0.25,0.5,0.75
602,1894,0.5,0.2888275980949402,0.2499999962747097,0.4999999850988388,0.7500000149011612
603,1878,0.5,0.28882887959480286,0.25,0.5,0.7500000149011612
604,1885,0.5,0.2888283133506775,0.25,0.5,0.75
605,1909,0.5,0.2888264060020447,0.25,0.5,0.75
606,1902,0.5,0.28882694244384766,0.2500000037252903,0.5000000149011612,0.7499999850988388
607,1911,0.5,0.28882622718811035,0.25,0.5,0.75
608,1918,0.5,0.2888256907463074,0.25,0.5,0.75
609,1913,0.5,0.2888260781764984,0.25,0.5,0.75
610,1922,0.5,0.2888253629207611,0.2499999925494194,0.5,0.7499999850988388
611,1911,0.5,0.28882622718811035,0.25,0.5,0.75
612,1923,0.5,0.28882527351379395,0.25,0.5,0.75
613,1925,0.5,0.288825124502182,0.25,0.5,0.75
614,1931,0.5,0.2888246774673462,0.25,0.5,0.75
615,1921,0.5,0.28882545232772827,0.25,0.5,0.75
616,1916,0.5,0.2888258397579193,0.2499999888241291,0.4999999850988388,0.7500000149011612
617,1934,0.5,0.2888244390487671,0.2500000037252903,0.5000000149011612,0.75
618,1924,0.5,0.28882521390914917,0.2499999925494194,0.4999999850988388,0.75
619,1921,0.5,0.28882545232772827,0.25,0.5,0.75
620,1929,0.5,0.28882482647895813,0.25,0.5,0.75
621,1930,0.5,0.28882473707199097,0.2500000037252903,0.5000000149011612,0.7499999850988388
622,1943,0.5,0.2888237535953522,0.25,0.5,0.75
623,1931,0.5,0.2888246774673462,0.25,0.5,0.75
624,1939,0.5000000596046448,0.28882405161857605,0.25,0.5,0.75
625,1930,0.5,0.28882476687431335,0.2500000037252903,0.5000000149011612,0.7499999850988388
626,1935,0.5,0.2888243496417999,0.25,0.5,0.75
627,1944,0.5,0.288823664188385,0.2499999925494194,0.4999999850988388,0.7499999850988388
628,1940,0.5,0.2888239622116089,0.24987106025218964,0.4999999850988388,0.75
629,1951,0.5,0.28882312774658203,0.2500000074505806,0.5,0.75
630,1932,0.5,0.28882458806037903,0.2499999962747097,0.5,0.75
631,1934,0.5,0.2888244390487671,0.2500000037252903,0.5000000149011612,0.75
632,1957,0.5,0.2888226807117462,0.25,0.5,0.75
633,1959,0.5,0.2888225317001343,0.2500000074505806,0.5,0.75
634,1959,0.4999999701976776,0.2888225317001343,0.2500000074505806,0.5,0.75
635,1943,0.5,0.2888237535953522,0.25,0.5,0.7498712837696075
636,1950,0.5,0.2888232171535492,0.25,0.5,0.75
637,1950,0.5,0.2888232171535492,0.25,0.5,0.75
638,1948,0.5,0.28882336616516113,0.2499999888241291,0.4999999850988388,0.7500000149011612
639,1944,0.5,0.288823664188385,0.2499999925494194,0.4999999850988388,0.7499999850988388
