fold,recent_rounds,recent_weight,mean_rank_ic,std_rank_ic,late_half_rank_ic,worst_quarter_rank_ic,negative_time_share,mean_delta,late_delta
fold_1,0,0.0,0.088,0.1,0.087,0.057999999999999996,0.2,0.0,0.0
fold_1,8,0.05,0.0885,0.1,0.08739999999999999,0.058249999999999996,0.2,0.0004999999999999999,0.00039999999999999996
fold_1,8,0.1,0.08879999999999999,0.1,0.08764,0.058399999999999994,0.2,0.0007999999999999999,0.0006399999999999999
fold_1,8,0.15,0.0891,0.1,0.08788,0.05855,0.2,0.0010999999999999998,0.0008799999999999999
fold_1,8,0.2,0.08879999999999999,0.1,0.08764,0.058399999999999994,0.2,0.0007999999999999997,0.0006399999999999998
fold_1,8,0.25,0.0885,0.1,0.08739999999999999,0.058249999999999996,0.2,0.0004999999999999998,0.00039999999999999986
fold_1,8,0.35,0.08789999999999999,0.1,0.08692,0.057949999999999995,0.2,-0.0001,-8e-05
fold_1,16,0.05,0.0886,0.1,0.08747999999999999,0.0583,0.2,0.0006,0.00047999999999999996
fold_1,16,0.1,0.08889999999999999,0.1,0.08771999999999999,0.058449999999999995,0.2,0.0009,0.00072
fold_1,16,0.15,0.0892,0.1,0.08796,0.0586,0.2,0.0012,0.0009599999999999999
fold_1,16,0.2,0.08889999999999999,0.1,0.08771999999999999,0.058449999999999995,0.2,0.0008999999999999998,0.0007199999999999998
fold_1,16,0.25,0.0886,0.1,0.08747999999999999,0.0583,0.2,0.0005999999999999998,0.0004799999999999999
fold_1,16,0.35,0.088,0.1,0.087,0.057999999999999996,0.2,0.0,0.0
fold_2,0,0.0,0.093,0.1,0.092,0.063,0.2,0.0,0.0
fold_2,8,0.05,0.09365,0.1,0.09252,0.063325,0.2,0.00065,0.00052
fold_2,8,0.1,0.09395,0.1,0.09276,0.063475,0.2,0.00095,0.00076
fold_2,8,0.15,0.09425,0.1,0.093,0.063625,0.2,0.0012499999999999998,0.0009999999999999998
fold_2,8,0.2,0.09395,0.1,0.09276,0.063475,0.2,0.0009499999999999998,0.0007599999999999998
fold_2,8,0.25,0.09365,0.1,0.09252,0.063325,0.2,0.0006499999999999999,0.00052
fold_2,8,0.35,0.09305,0.1,0.09204,0.063025,0.2,5e-05,4e-05
fold_2,16,0.05,0.09375,0.1,0.0926,0.063375,0.2,0.00075,0.0006000000000000001
fold_2,16,0.1,0.09405,0.1,0.09283999999999999,0.063525,0.2,0.00105,0.00084
fold_2,16,0.15,0.09435,0.1,0.09308,0.063675,0.2,0.0013499999999999999,0.00108
fold_2,16,0.2,0.09405,0.1,0.09283999999999999,0.063525,0.2,0.0010499999999999997,0.0008399999999999998
fold_2,16,0.25,0.09375,0.1,0.0926,0.063375,0.2,0.0007499999999999999,0.0006
fold_2,16,0.35,0.09315,0.1,0.09212,0.063075,0.2,0.00015000000000000001,0.00012000000000000002
fold_3,0,0.0,0.097,0.1,0.096,0.067,0.2,0.0,0.0
fold_3,8,0.05,0.09770000000000001,0.1,0.09656,0.06735000000000001,0.2,0.0007,0.0005600000000000001
fold_3,8,0.1,0.098,0.1,0.0968,0.0675,0.2,0.001,0.0008
fold_3,8,0.15,0.0983,0.1,0.09704,0.06765,0.2,0.0013,0.00104
fold_3,8,0.2,0.098,0.1,0.0968,0.0675,0.2,0.0009999999999999998,0.0007999999999999999
fold_3,8,0.25,0.09770000000000001,0.1,0.09656,0.06735000000000001,0.2,0.0006999999999999999,0.00056
fold_3,8,0.35,0.0971,0.1,0.09608,0.06705,0.2,0.0001,8e-05
fold_3,16,0.05,0.0978,0.1,0.09664,0.0674,0.2,0.0008,0.00064
fold_3,16,0.1,0.0981,0.1,0.09688000000000001,0.06755,0.2,0.0011,0.0008800000000000001
fold_3,16,0.15,0.0984,0.1,0.09712,0.06770000000000001,0.2,0.0014,0.0011200000000000001
fold_3,16,0.2,0.0981,0.1,0.09688000000000001,0.06755,0.2,0.0010999999999999998,0.0008799999999999999
fold_3,16,0.25,0.0978,0.1,0.09664,0.0674,0.2,0.0007999999999999999,0.0006399999999999999
fold_3,16,0.35,0.09720000000000001,0.1,0.09616,0.0671,0.2,0.0002,0.00016
