recent_rounds,recent_weight,mean_rank_ic,fold_std,late_half_rank_ic,worst_quarter_rank_ic,mean_improvement,worst_fold_delta,late_mean_delta,positive_fold_count,qualified,selected
0,0.0,0.09764024853280769,0.011542559851344232,0.09463325137709853,0.05433299470126351,0.0,0.0,0.0,0,False,False
8,0.05,0.09787799733142298,0.0115063952752198,0.09485761905243988,0.05454145717037812,0.00023774879861529022,0.00017881284168234923,0.00022436767534135538,3,False,False
8,0.1,0.09806871144946987,0.011465619282524932,0.09503338847161802,0.054725652830276354,0.00042846291666218117,0.0003085136788601728,0.00040013709451950746,3,False,False
8,0.15,0.09823210802942706,0.011421319118234925,0.0951800939215494,0.05488496805828897,0.0005918594966193615,0.000405569112737994,0.0005468425444508743,3,True,False
8,0.2,0.09836690628130929,0.011372354197467004,0.09529911647650456,0.055036128135261576,0.0007266577485015949,0.0004675917712934907,0.0006658650994060313,3,True,False
8,0.25,0.0984773263770421,0.011318164648380494,0.09539254020673771,0.05518055809529595,0.0008370778442344009,0.0004976603204031316,0.0007592888296391875,3,True,False
8,0.35,0.09860438259336092,0.011184883471602921,0.09546882527424057,0.055402426165115856,0.0009641340605532345,0.000434590322089104,0.0008355738971420381,3,False,False
16,0.05,0.09792397548861147,0.01153340533729125,0.09488152672220958,0.05452704172317821,0.0002837269558037629,0.00025194995933491837,0.0002482753451110477,3,False,False
16,0.1,0.09815555010695054,0.01151818343077413,0.09507384365895943,0.05468572063078528,0.000515301574142854,0.00044535190003920644,0.00044059228186091776,3,True,False
16,0.15,0.09836102866654346,0.011492980796813395,0.09524133829008934,0.05482767917622903,0.0007207801337357767,0.0006188125298238478,0.0006080869129907971,3,True,False
16,0.2,0.09854034982985378,0.011460490680704689,0.09538371807781787,0.05495238816652963,0.0009001012970461011,0.0007626011119484799,0.000750466700719335,3,True,False
16,0.25,0.09869753782264327,0.011420643449103462,0.09549654895114318,0.0550583717816999,0.0010572892898355751,0.0008881284717880272,0.0008632975740446533,3,True,True
16,0.35,0.09890516174464921,0.0113229301192383,0.09561004468866229,0.055242749282612726,0.0012649132118415275,0.0010236864580040334,0.0009767933115637645,3,False,False
